Matrice,M,N,NZ,Densità,GFLOPS_CSR_Parallelo,GFLOPS_CSR_WARP,Kernel_CSR_Selezionato,GFLOPS_HLL_Parallelo
Cube_Coup_dt0.mtx,2164760,2164760,127206144,0.33783113,16.467944,55.038591,ROW,61.445302
FEM_3D_thermal1.mtx,17880,17880,430740,0.00134735,27.999879,20.441340,ROW,12.431463
ML_Laplace.mtx,377002,377002,27689972,0.06982063,14.255366,53.329665,ROW,59.732284
PR02R.mtx,161070,161070,8185136,0.04711110,18.030738,42.173618,ROW,40.901615
adder_dcop_32.mtx,1813,1813,11246,0.00342139,0.293087,1.545066,ROW,0.127210
af23560.mtx,23560,23560,484256,0.00087242,24.084354,17.158095,ROW,14.747371
af_1_k101.mtx,503625,503625,17550675,0.07466143,21.730225,35.226530,ROW,54.842162
amazon0302.mtx,262111,262111,1234877,-0.07137846,28.264948,5.318126,ROW,21.964057
bcsstk17.mtx,10974,10974,428650,0.00355937,20.803115,24.526558,ROW,10.164520
cage4.mtx,9,9,49,0.60493827,0.010767,0.012005,ROW,0.001700
cant.mtx,62451,62451,4007383,-0.01014939,15.889839,48.249532,WARP,44.975652
cavity10.mtx,2597,2597,76367,0.01132301,8.996541,9.729319,ROW,2.414996
cop20k_A.mtx,121192,121192,2624331,0.00145586,19.801053,22.557555,ROW,37.893076
dc1.mtx,116835,116835,766396,0.00100115,0.215731,4.025671,ROW,0.078806
lung2.mtx,109460,109460,492564,-0.00054523,25.856395,4.828684,ROW,14.721561
mac_econ_fwd500.mtx,206500,206500,1273389,-0.00414214,28.187943,6.870325,ROW,13.606439
mcfe.mtx,765,765,24382,0.04166261,2.587412,4.249500,ROW,0.776662
mhd4800a.mtx,4800,4800,102252,0.00443802,11.860458,10.167516,ROW,3.473710
mhda416.mtx,416,416,8562,0.04947531,1.231074,1.785783,ROW,0.274864
nlpkkt80.mtx,1062400,1062400,28704672,-0.03252142,22.548108,30.912368,WARP,55.318816
olafu.mtx,16146,16146,1015156,0.00389406,24.796122,33.893701,ROW,22.423066
olm1000.mtx,1000,1000,3996,0.00399600,0.870195,0.753253,ROW,0.149521
raefsky2.mtx,3242,3242,294276,0.02799812,20.346779,27.265158,ROW,7.925499
rdist2.mtx,3198,3198,56934,0.00556692,6.925096,6.772220,ROW,1.845996
roadNet-PA.mtx,1090920,1090920,3083796,0.00769976,31.440256,3.242489,ROW,25.353607
thermal1.mtx,82654,82654,574458,-0.00032672,23.291161,7.511023,ROW,18.697919
thermal2.mtx,1228045,1228045,8580313,0.01529464,28.499938,7.990445,ROW,36.872642
thermomech_TK.mtx,102158,102158,711558,0.00038539,23.265009,7.414117,ROW,20.974752
webbase-1M.mtx,1000005,1000005,3105536,-0.00432900,14.208024,3.552239,ROW,5.926499
west2021.mtx,2021,2021,7353,0.00180025,1.312524,1.110076,ROW,0.279447
